round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
1,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,10,0
2,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,20,0
3,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,30,0
4,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,31,1
5,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,41,1
6,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,51,1
7,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,52,2
8,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,62,2
9,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,63,3
10,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,73,3
11,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,83,3
12,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,93,3
13,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,103,3
14,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,104,4
15,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,105,5
16,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,115,5
17,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,116,6
18,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,117,7
19,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,127,7
20,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,137,7
21,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,138,8
22,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,D,1,1,139,9
23,player_ef604557-c391-410a-bac1-2e6a67423c66@localhost,AlwaysDefect,D,player_c7198461-9891-46ff-8bc2-bea4935b9b89@localhost,Random,C,10,0,149,9
