round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
1,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,C,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,0,10,0,10
2,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,C,10,0,10,10
3,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,11,11
4,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,12,12
5,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,13,13
6,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,14,14
7,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,15,15
8,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,16,16
9,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,17,17
10,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,18,18
11,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,19,19
12,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,20,20
13,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,21,21
14,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,22,22
15,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,23,23
16,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,24,24
17,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,25,25
18,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,26,26
19,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,27,27
20,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,28,28
21,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,29,29
22,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,30,30
23,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,31,31
24,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,32,32
25,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,33,33
26,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,34,34
27,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,35,35
28,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,36,36
29,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,37,37
30,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,38,38
31,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,39,39
32,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,40,40
33,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,41,41
34,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,42,42
35,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,43,43
36,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,44,44
37,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,45,45
38,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,46,46
39,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,47,47
40,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,48,48
41,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,49,49
42,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,50,50
43,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,51,51
44,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,52,52
45,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,53,53
46,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,54,54
47,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,55,55
48,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,56,56
49,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,57,57
50,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,58,58
51,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,59,59
52,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,60,60
53,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,61,61
54,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,62,62
55,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,63,63
56,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,64,64
57,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,65,65
58,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,66,66
59,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,67,67
60,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,68,68
61,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,69,69
62,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,70,70
63,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,71,71
64,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,72,72
65,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,73,73
66,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,74,74
67,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,75,75
68,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,76,76
69,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,77,77
70,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,78,78
71,player_a549a738-25d9-480d-9452-2d295044e2ff@localhost,GrimTrigger,D,player_85460bd7-1920-47c5-8ad8-d86b2c9e2096@localhost,SuspiciousTitForTat,D,1,1,79,79
