round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
1,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,D,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,C,10,0,10,0
2,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,C,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,0,10,10,10
3,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,D,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,C,10,0,20,10
4,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,D,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,1,1,21,11
5,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,C,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,0,10,21,21
6,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,D,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,1,1,22,22
7,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,C,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,0,10,22,32
8,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,D,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,1,1,23,33
9,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,C,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,0,10,23,43
10,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,D,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,1,1,24,44
11,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,D,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,1,1,25,45
12,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,C,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,0,10,25,55
13,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,C,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,0,10,25,65
14,player_21feec69-7adc-4a84-b019-c9905a9b99a0@localhost,Random,C,player_f6fda46c-5e93-427f-a1e2-73342cc931f7@localhost,Adaptive,D,0,10,25,75
