round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
1,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,10,0
2,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,10,10
3,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,20,10
4,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,20,20
5,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,30,20
6,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,30,30
7,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,40,30
8,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,40,40
9,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,50,40
10,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,50,50
11,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,60,50
12,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,60,60
13,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,70,60
14,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,70,70
15,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,80,70
16,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,80,80
17,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,90,80
18,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,90,90
19,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,100,90
20,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,100,100
21,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,110,100
22,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,110,110
23,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,120,110
24,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,120,120
25,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,130,120
