round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
1,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,0,10
2,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,D,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,10,0,10,10
3,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,10,20
4,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,D,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,10,0,20,20
5,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,20,30
6,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,D,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,10,0,30,30
7,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,30,40
8,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,D,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,10,0,40,40
9,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,40,50
10,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,D,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,10,0,50,50
11,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,50,60
12,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,D,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,10,0,60,60
13,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,60,70
14,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,D,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,10,0,70,70
15,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,70,80
16,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,D,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,10,0,80,80
17,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,D,0,10,80,90
18,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,85,95
19,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,90,100
20,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,95,105
21,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,100,110
22,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,105,115
23,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,110,120
24,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,115,125
25,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,120,130
26,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,125,135
27,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,130,140
28,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,135,145
29,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,140,150
